h11,cy_index,triag_index,tau,cy_volume,f_GeV,g_eff_GeV_inv,mass
100,0,0,2.5000000113396936,2768281.7312192484,56263437971875.46,2.0647776868172138e-17,4.09101210799511e+28
100,0,0,0.5000000174432557,2768281.7312192484,73239632472433.66,1.5861834281005997e-17,1.6829203969697773e+31
100,0,0,65.95655495143728,2768281.7312192484,21970209237940.35,5.2876825181681144e-17,2.7643929801237673e-58
100,0,0,5.500000034066716,2768281.7312192484,39441366951429.75,2.9454225420486245e-17,4.709512785468937e+24
100,0,0,36.6021792693864,2768281.7312192484,27216223765017.78,4.2684647330565077e-17,2.5062371885172373e-18
100,0,0,39.500000005692755,2768281.7312192484,26596175932232.473,4.3679772462011016e-17,2.85307211711209e-22
100,0,0,19.999999992667654,2768281.7312192484,19480837336098.617,5.963372585257581e-17,156986.83878506912
100,0,0,32.9716088327867,2768281.7312192484,20700573205242.625,5.61199393640613e-17,2.9602754271315515e-13
100,0,0,52.382599090398344,2768281.7312192484,19344319144784.36,6.005457749040246e-17,1.039596792212865e-39
100,0,0,50.61414682224904,2768281.7312192484,22465225905703.855,5.171169513076528e-17,2.3160186209029876e-37
100,0,0,13.097791796780598,2768281.7312192484,23639863041823.824,4.91422015019382e-17,338092517993215.75
100,0,0,44.89041088319709,2768281.7312192484,23025990957781.605,5.0452330812148084e-17,1.4566810752483212e-29
100,0,0,51.71661411132072,2768281.7312192484,22582209609202.277,5.144381055634732e-17,7.21615914605346e-39
100,0,0,39.000000009619725,2768281.7312192484,25085357006293.508,4.631047956734571e-17,1.455123424449373e-21
100,0,0,33.49999999384511,2768281.7312192484,25948522176995.695,4.476998362972017e-17,4.49032170649297e-14
100,0,0,54.7953121728458,2768281.7312192484,22379350904131.48,5.19101254569927e-17,4.5890439296012995e-43
100,0,0,15.68664563767274,2768281.7312192484,20159690691342.535,5.762563180487784e-17,116419488673.93918
100,0,0,32.50000000223781,2768281.7312192484,26928630061674.426,4.31405129194787e-17,1.0012722225049247e-12
100,0,0,15.500000000310138,2768281.7312192484,27799242181202.527,4.17894453923303e-17,151750974650.04208
100,0,0,44.999999999216584,2768281.7312192484,23697582266450.613,4.90225078667288e-17,1.0031317344227421e-29
100,0,0,38.776025236587884,2768281.7312192484,17806599409181.668,6.524069455285829e-17,4.1430961645565455e-21
100,1,0,22.000000005405127,1175578.3448250878,82541121579921.08,1.4074377605284764e-17,69.19070780720192
100,1,0,8.147648261969607,1175578.3448250878,65984026789232.39,1.7606002082751074e-17,6.872274329407559e+20
100,1,0,10.416155419354254,1175578.3448250878,55160201575648.5,2.1060744520418664e-17,6.604134878328733e+17
100,1,0,7.632515319404774,1175578.3448250878,69581908561827.43,1.669564599607496e-17,3.2875939467344216e+21
100,1,0,1.4999999952383973,1175578.3448250878,99994209482857.6,1.1617821862761819e-17,5.326703893855349e+29
100,1,0,45.75715495477402,1175578.3448250878,40966323793713.73,2.835780234832282e-17,5.377627282258435e-31
100,1,0,20.332692883396703,1175578.3448250878,48038192914979.16,2.4183151833700323e-17,22385.453094321318
100,1,0,58.54498977087724,1175578.3448250878,41031224406659.77,2.831294775817049e-17,1.9163894658310543e-48
100,1,0,5.499999996948361,1175578.3448250878,60993150082272.91,1.9046645590734455e-17,3.04541810586892e+24
100,1,0,69.80293875383467,1175578.3448250878,43150254386738.836,2.6922550737882845e-17,7.953082843443818e-64
100,1,0,5.499999979949976,1175578.3448250878,65995499664341.46,1.7602941397339298e-17,2.814580607142537e+24
100,1,0,38.07076969131958,1175578.3448250878,42935634259728.53,2.7057127095223987e-17,1.5751506939873053e-20
100,1,0,5.499999993167762,1175578.3448250878,61259219800759.48,1.896391950236894e-17,3.032190850697039e+24
100,1,0,64.1766472125849,1175578.3448250878,35989617816139.78,3.227916781485102e-17,4.5260648326117795e-56
100,1,0,24.44256103826001,1175578.3448250878,45606787047686.7,2.5472412951713366e-17,0.058225891324239124
100,1,0,49.68542737807289,1175578.3448250878,36989328002703.04,3.1406759079122347e-17,2.6019517839940134e-36
100,1,0,18.767517033015423,1175578.3448250878,45728135229389.14,2.5404817127397365e-17,3212609.797562934
100,1,0,58.22096083252063,1175578.3448250878,34573636715340.95,3.3601177759933314e-17,6.294345950189655e-48
100,1,0,26.674846626108547,1175578.3448250878,34483962743433.727,3.368855608976484e-17,6.931875993360769e-05
100,1,0,64.40542018472013,1175578.3448250878,31590307443924.066,3.6774409845225076e-17,2.5131112786379337e-56
100,1,0,62.58537694205938,1175578.3448250878,32057871596873.316,3.623805496784238e-17,7.534507161512434e-54
100,1,0,55.75442198847031,1175578.3448250878,34548799083414.336,3.3625334133168945e-17,1.460662877955863e-44
100,1,0,22.049488753168248,1175578.3448250878,42690626213728.06,2.7212412094015018e-17,114.5155166015992
100,1,0,37.83393353254297,1175578.3448250878,37480580721992.516,3.0995115088968395e-17,3.79723377644524e-20
100,1,0,56.62372187651857,1175578.3448250878,33360997624667.07,3.4822547159697585e-17,9.855796029880116e-46
100,1,0,51.06242783036515,1175578.3448250878,35233011917208.41,3.297234184262648e-17,3.6114288149239727e-38
100,1,0,27.568902855705574,1175578.3448250878,41355733446667.21,2.809078249277547e-17,3.4841997555151338e-06
100,1,0,59.81739696929071,1175578.3448250878,34512848782974.99,3.366035995419179e-17,4.1838407852153366e-50
100,1,0,50.90204498877307,1175578.3448250878,33837687792546.453,3.4331982734807994e-17,6.223729477126775e-38
100,1,0,24.889583182827778,1175578.3448250878,41062239789123.86,2.829156224905274e-17,0.0158780273132007
100,1,0,74.83502578253695,1175578.3448250878,33207379997496.406,3.4983636564134626e-17,1.4080682386811868e-70
100,1,0,40.17864771487643,1175578.3448250878,37407014897788.914,3.1056071067253103e-17,2.40573622064592e-23
100,2,0,4.100000004975527,2152135.986774935,100443782407668.61,1.156582204724734e-17,1.503598261854693e+26
100,2,0,7.288888896160643,2152135.986774935,60321199518967.71,1.9258816508021073e-17,1.1161956001652756e+22
100,2,0,2.9666666650173283,2152135.986774935,63659996932948.5,1.8248742837721682e-17,8.346059379668803e+27
100,2,0,21.49999999460306,2152135.986774935,42910824627815.33,2.707277063900772e-17,640.2350856361869
100,2,0,5.49999998939893,2152135.986774935,49737731705230.27,2.3356813293465203e-17,3.734582210158771e+24
100,2,0,71.00000000113141,2152135.986774935,29635175356556.668,3.9200541218410683e-17,2.694444890577071e-65
100,2,0,27.500000009599717,2152135.986774935,23875274080919.28,4.865765767304641e-17,7.493760716336296e-06
100,2,0,19.225679011852094,2152135.986774935,41842688950057.375,2.776386848527179e-17,832370.1834004916
100,2,0,30.729382718061913,2152135.986774935,33721335061767.977,3.4450442455839725e-17,2.0828117640312783e-10
100,2,0,52.27555555221397,2152135.986774935,28051544972035.008,4.1413580401281235e-17,1.0034812593677012e-39
100,2,0,36.36666667250665,2152135.986774935,24311791009643.613,4.7784011989026955e-17,5.879777625914604e-18
100,2,0,1.9999999913360398,2152135.986774935,57462927640351.98,2.021677211349986e-17,1.9268925004290786e+29
100,2,0,37.00000000604359,2152135.986774935,31057946058431.934,3.7404756608627497e-17,6.293613943947785e-19
100,2,0,73.40617798303674,2152135.986774935,22567284619224.1,5.1477833185562475e-17,1.8444426618472363e-68
100,2,0,15.500000000043428,2152135.986774935,30302346011381.723,3.8337457853698254e-17,139215692985.62582
100,2,0,22.244444443381795,2152135.986774935,33955353195025.887,3.42130121989044e-17,78.03612144871076
100,2,0,41.58123456620643,2152135.986774935,28612760959102.28,4.060128677340953e-17,3.836939565330948e-25
100,2,0,69.60000000264858,2152135.986774935,23963781707876.273,4.847794589522999e-17,2.709245403747348e-63
100,2,0,15.20000000166283,2152135.986774935,31738500137365.395,3.66027035950528e-17,341107250629.11884
100,2,0,48.62790123423929,2152135.986774935,26214663645322.555,4.431546133100248e-17,1.0178764357805288e-34
