h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV
1,0,0,0.49999999999999956,6.712429301760324e+17,5.06186768414106e+17,1.8362424774665557e+27
1,1,0,2.499999999999998,1.3424858603520648e+17,945274801561682.9,1.7145388340992054e+25
1,2,0,1.4999999999999987,2.237476433920108e+17,2.1874313636450256e+16,2.3805369700111993e+26
1,3,0,0.49999999999999956,6.712429301760324e+17,5.06186768414106e+17,1.8362424774665557e+27
1,4,0,0.9999999999999991,3.356214650880162e+17,1.0522589097228571e+17,7.634346165860431e+26
2,0,0,1.4999999999999987,1.7688804355346922e+17,2.1874313636450256e+16,3.0111675517885358e+26
2,0,1,1.4999999999999987,1.7331417932208278e+17,2.1874313636450256e+16,3.0732600132948135e+26
2,1,0,2.499999999999999,1.2835426125758894e+17,945274801561678.6,1.7932744259915228e+25
2,1,1,2.499999999999999,5.9099644623815496e+16,945274801561678.6,3.894683557665843e+25
2,2,0,0.49999999999999956,9.715990600699078e+16,5.06186768414106e+17,1.2685940443372424e+28
2,2,1,5.499999999999995,5.8204143672822056e+16,76283220457.39392,3.191347386844013e+21
2,3,0,5.4999999999999964,1.215046595764754e+17,76283220457.39366,1.5287450083084442e+21
2,3,1,5.4999999999999964,4.654232313543037e+16,76283220457.39366,3.9909834597910635e+21
2,4,0,4.4999999999999964,5.8962681184489736e+16,1765246557643.0828,7.289993062580748e+22
2,4,1,4.4999999999999964,5.777139310736092e+16,1765246557643.0828,7.44031801323003e+22
2,5,0,8.999999999999993,5.8585814278226984e+16,1279710.640357599,5.318856531501396e+16
2,5,1,8.999999999999993,3.2000251110921908e+16,1279710.640357599,9.737721739962246e+16
2,6,0,1.9999999999999982,1.113130471286314e+17,4547223051708978.0,9.94716110692414e+25
2,6,1,1.9999999999999982,3.5777368390542276e+16,4547223051708978.0,3.094830231794904e+26
2,7,0,7.999999999999993,9.784963089028619e+16,29613390.587412324,7.369328368872512e+17
2,7,1,7.999999999999993,4.070008090536591e+16,29613390.587412324,1.7717067012228518e+18
2,8,0,4.999999999999996,5.872152401363987e+16,366958706557.48615,1.5216642712813886e+22
2,8,1,4.999999999999996,9.688557160719138e+16,366958706557.48615,9.222678213534481e+21
2,9,0,8.999999999999993,5.028978587810814e+16,1279710.640357599,6.1962789358926936e+16
2,9,1,5.499999999999995,3.746512693388737e+16,76283220457.39392,4.957934405014463e+21
3,0,0,1.9999999999999982,1.165825288601328e+17,4547223051708978.0,9.497553569279084e+25
3,0,1,1.9999999999999982,9.979783746833904e+16,4547223051708978.0,1.10949178978193e+26
3,0,2,1.9999999999999982,3.983093988626064e+16,4547223051708978.0,2.779871166115949e+26
3,1,0,4.999999999999995,6.22804042568908e+16,366958706557.4868,1.4347120272081685e+22
3,1,1,0.49999999999999956,9.811091207874563e+16,5.06186768414106e+17,1.2562973424394108e+28
3,1,2,0.49999999999999956,9.791084430314882e+16,5.06186768414106e+17,1.2588644188095402e+28
3,2,0,5.000000033916562,1.0787282744159717e+17,366958667457.2908,8.2833126418446e+21
3,2,1,5.000000033916564,1.6000128657088525e+17,366958667457.2888,5.584607314158265e+21
3,2,2,0.4999995409392701,3.4662839376921628e+16,5.0618749842798483e+17,3.555873035296643e+28
3,3,0,9.000000000000005,3.1684766239767376e+16,1279710.6403575488,9.834680128899411e+16
3,3,1,9.0,3.0605762609395184e+16,1279710.6403575717,1.0181400963732645e+17
3,3,2,9.000000000000005,1.4094776686952956e+16,1279710.6403575488,2.2108157358428336e+17
3,4,0,7.499999999999993,1.6140785283187832e+16,142454545.5944395,2.1490702740700324e+19
3,4,1,9.999999999999991,1.956982753651086e+16,55301.311013693325,6880934033123922.0
3,4,2,25.49999999999998,9006119244958983.0,3.934612275681847e-17,1.0638079100105154e-05
3,5,0,9.499999999999993,6.203493944197359e+16,266025.7057691004,1.0442060544826916e+16
3,5,1,7.499999999999993,4.101726663778963e+16,142454545.5944395,8.456848711680827e+18
3,5,2,14.999999999999986,1.6275246228759926e+16,0.00833400310493562,1246881139.3254392
3,6,0,9.99999999999999,2.1905633415366508e+16,55301.31101369352,6147217465251767.0
3,6,1,25.499999999999968,1.104475258418458e+16,3.9346122756819587e-17,8.674509291411988e-06
3,6,2,15.49999999999998,1.1758110690833402e+16,0.001732469034759973,358778906.795742
3,7,0,35.99999999999997,9733538108557540.0,1.8575915517451264e-31,4.647061919367883e-20
3,7,1,25.49999999999998,2.238046989213088e+16,3.934612275681847e-17,4.280866727759797e-06
3,7,2,7.499999999999993,1.4861568269436128e+16,142454545.5944395,2.3340525860641305e+19
3,8,0,10.99999999999999,2.732317394226706e+16,2389.7863340252,212974149183655.8
3,8,1,15.999999999999982,1.9307776914043588e+16,0.000360144928986716,45419672.39350058
3,8,2,15.999999999999982,7590604228004700.0,0.000360144928986716,115531369.53804444
3,9,0,15.999999999999988,1.0832136207630173e+17,0.0003601449289867083,8095844.487857415
3,9,1,1.9999999999999982,9.688557160719138e+16,4547223051708978.0,1.1428418026786458e+26
3,9,2,5.999999999999995,4.3328544830520696e+16,15857723551.35485,8.911805600346314e+20
4,0,0,4.999999999999996,4.3281227958528424e+16,366958706557.48615,2.064508084945424e+22
4,0,1,4.999999999999996,4.723549708019855e+16,366958706557.48615,1.891679998519712e+22
4,0,2,4.999999999999996,1.8774586440749372e+16,366958706557.48615,4.7593296038099765e+22
4,0,3,4.999999999999996,2.768159188776896e+16,366958706557.48615,3.2279373747370687e+22
4,1,0,21.49999999999998,2.1333081314095732e+16,1.1282552367353649e-11,1.2878127922548852
4,1,1,21.49999999999998,1.0089163251613044e+16,1.1282552367353649e-11,2.723022150535009
4,1,2,21.49999999999998,1.4354221723704104e+16,1.1282552367353649e-11,1.9139327469867682
4,1,3,21.49999999999998,1.0721034437783948e+16,1.1282552367353649e-11,2.5625339769158364
4,2,0,37.99999999999996,1.6021444852799314e+16,3.4689458417887745e-34,5.2722355582554104e-23
4,2,1,16.499999999999982,2.26115409260026e+16,7.486677526263363e-05,8062281.043167325
4,2,2,7.499999999999994,2.278534472026388e+16,142454545.59443897,1.5223680957258815e+19
