h11,cy_index,log10_mass_over_Mpl_median,log10_f_over_Mpl_median,log10_coupling_median,mass_eV_min,mass_eV_max,abs_coupling_min,abs_coupling_max,axion_index_count
1,0,-0.9207488042807517,-1.3577991093563986,-18.324029597246504,2.9224706700411055e+26,2.9224706700411055e+26,4.742096666855243e-19,4.742096666855243e-19,1
1,1,-2.950531507628413,-2.0567691136924173,-18.324029597246504,2.7287733056990355e+24,2.7287733056990355e+24,4.742096666855243e-19,4.742096666855243e-19,1
1,2,-1.8080039034029292,-1.834920364076061,-18.324029597246504,3.7887422599028535e+25,3.7887422599028535e+25,4.742096666855242e-19,4.742096666855242e-19,1
1,3,-0.9207488042807517,-1.3577991093563986,-18.324029597246504,2.9224706700411055e+26,2.9224706700411055e+26,4.742096666855243e-19,4.742096666855243e-19,1
1,4,-1.3019069855376906,-1.6588291050203796,-18.324029597246504,1.2150439295713465e+26,1.2150439295713465e+26,4.742096666855243e-19,4.742096666855243e-19,1
2,0,-1.7015117203348589,-1.7908975493121404,-18.368052412010424,4.374862727290047e+25,5.358090688290706e+25,3.87190571491607e-19,4.742096666855242e-19,2
2,1,-1.3982430140075106,-2.244681187849877,-20.50551300650085,2.8540846741583885e+24,3.3192888692373194e+27,1.8101256774981146e-24,5.385986467598871e-18,2
2,2,-3.3810309129568905,-2.308458792469342,-24.48465383560738,5.0128868730657486e+20,2.045729469028776e+27,3.233135349902546e-32,3.31946766679867e-18,2
2,3,-6.450877255508791,-2.300358873080083,-19.135693152883256,2.4074212329826635e+20,3.0880998443287854e+21,7.8278063362077e-21,6.838701090427877e-19,2
2,4,-5.317519527140718,-2.268018804031803,-18.368052412010424,1.0591479345858489e+22,1.2971860009290127e+22,3.871905714916071e-19,4.742096666855242e-19,2
2,5,-12.009729192716913,-2.547699971999597,-19.78138445213337,401905798202369.94,1.4106370099783784e+16,5.444810397297762e-22,5.026299170274144e-19,2
2,6,-3.30488719647315,-2.3846001059226944,-20.565567574791615,8.00600657958851e+22,1.8188948590857963e+25,9.00189245879012e-24,8.21355236090301e-19,2
2,7,-8.762392611841166,-2.3846005572761664,-18.514512096633624,1.1728632256057544e+17,1.5099596359845305e+20,2.0331508917560545e-19,4.600512292003586e-19,2
2,8,-4.064526353354662,-2.3071506216649613,-22.458942759859653,2.4218039051511744e+21,1.8188892208481084e+25,1.470901023518375e-27,8.213552361396303e-19,2
2,9,-5.188927992522697,-2.5471252857500026,-18.54392217095743,5.878524120651837e+20,4.225456562425524e+23,1.419639431246986e-19,5.754102640509136e-19,2
3,0,-2.1447729991117086,-2.0652714101300953,-18.25823922983086,1.54472925739035e+24,1.8935039521086304e+25,3.9638080280222816e-21,6.084034952948838e-19,3
3,1,-0.09902246603765791,-2.0567691136924053,-17.6528182568354,2.2834275335117375e+21,2.0664988286049447e+27,7.522116887576324e-31,2.371048333427625e-18,3
