h11,log10_mass_over_Mpl_median_mean,log10_mass_over_Mpl_median_std,log10_f_over_Mpl_median_mean,log10_f_over_Mpl_median_std,log10_coupling_median_mean,log10_coupling_median_std,mass_eV_min_mean,mass_eV_min_std,mass_eV_max_mean,mass_eV_max_std,abs_coupling_min_mean,abs_coupling_min_std,abs_coupling_max_mean,abs_coupling_max_std
1,-1.580388001026107,0.8480715835724677,-1.653223360300331,0.3043211201704943,-18.324029597246504,0.0,1.4932294457401667e+26,1.3741925626214923e+26,1.4932294457401667e+26,1.3741925626214923e+26,4.742096666855242e-19,4.81482486096809e-35,4.742096666855242e-19,4.81482486096809e-35
2,-5.1579645776857355,3.2575755857546236,-2.3083591749356667,0.2106690246869358,-20.0726293873388,2.031128346039006,4.669711529701665e+24,1.3759976817639032e+25,5.455415842574508e+26,1.1657169573704843e+27,1.1280432761485252e-19,1.6129244376719785e-19,1.3518545459319995e-18,1.6604773883585363e-18
3,-10.198368001037556,7.811936743627319,-0.6316894741829513,5.057274987239299,-21.62247759822198,5.65015876858958,1.7445989447043837e+24,4.996509917473462e+24,4.1306118621744955e+26,8.550837735092189e+26,3.341073007953726e-20,7.223772421598356e-20,1.2845837325950455e-18,8.920671557303442e-19
4,-13.910139519053313,10.660892272737417,-2.776332076087546,0.3252765634822417,-19.427795552230187,1.5164891837243923,1.1145358027700551e+23,3.5141356322922706e+23,6.276895776939515e+23,1.2112685812758295e+24,5.593099185465032e-20,7.141226812003308e-20,1.0008714534908914e-18,5.959183823769231e-19
5,-23.463573281364525,14.88820070332142,1.1526173607069603,6.9156404076261255,-19.264946340738632,2.2290814704642203,112753360014197.7,349380105181731.6,1.8931340278027072e+21,5.776186085819766e+21,6.70934571589421e-20,6.933186614436954e-20,1.0741645941163488e-18,1.4278784212553744e-18
6,-16.38295383548768,9.294421586553838,6.0516535914184875,8.389382316478693,-22.815248169377654,5.713812663321545,3.0043857822677784e+16,6.124124141320246e+16,6.353019165829485e+25,1.6376654111712263e+26,2.6959272893169653e-20,3.448600215424914e-20,5.04901266173383e-18,7.713417998110932e-18
7,-19.875449703093004,10.232871016353824,7.728169070700261,8.094207290764082,-21.374295661287455,5.99133493015239,2.928316518405014e+18,9.218130860781156e+18,5.71477906106996e+27,1.766706960767001e+28,1.6989928297157804e-19,4.1687726568341377e-19,1.0544769996447755e-17,2.8311040786117465e-17
8,-18.090455685276105,13.699337284221325,2.5097248047631275,7.127242795165209,-20.138803739880412,4.600668568295833,8.208820229319418e+18,1.5309731496512205e+19,1.7881057900584309e+28,2.3460106154287764e+28,4.038340112758423e-20,5.692240964413321e-20,8.759481821840314e-18,2.4677583054360552e-17
9,-19.646157015799258,8.412538848027625,7.287690441678751,8.445825362701433,-20.08817684245644,4.6359364174763025,3.266022679552169e+18,1.0263125778166497e+19,6.012945038578206e+27,1.8926360650430393e+28,5.1523228004477435e-20,6.446986333825361e-20,3.062284275517939e-18,5.8264606416817395e-18
10,-16.57765676381063,7.535772891576034,4.783388077944974,5.822987346928783,-18.79267721173128,0.8394403488255423,9.386002684142848e+17,2.5971546861439386e+18,5.580369921112515e+28,1.5680956674898054e+29,1.1757163180745062e-19,3.2339982326657845e-19,3.8375078714800106e-18,5.294433090647047e-18
